time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-07 11:07:28,3,0,0,0,0,0,0
2018-12-07 11:07:29,3,0,0,1,0,0,0
2018-12-07 11:07:30,3,0,0,1,0,0,0
2018-12-07 11:07:31,4,0,0,0,0,0,0
2018-12-07 11:07:32,1,0,0,0,0,0,0
2018-12-07 11:07:33,1,0,0,0,0,0,0
2018-12-07 11:07:34,2,0,0,0,0,0,0
2018-12-07 11:07:35,2,0,0,0,0,0,0
2018-12-07 11:07:36,1,0,0,0,0,0,0
2018-12-07 11:07:37,1,0,0,0,0,0,0
2018-12-07 11:07:38,1,0,0,0,0,0,0
2018-12-07 11:07:39,2,1,0,0,0,0,0
2018-12-07 11:07:40,1,0,0,0,0,0,0
2018-12-07 11:07:42,1,0,0,0,0,0,0
2018-12-07 11:07:43,1,7,0,0,0,0,0
2018-12-07 11:07:44,1,0,0,0,0,0,0
2018-12-07 11:07:45,2,0,0,0,0,0,0
2018-12-07 11:07:46,1,0,0,0,0,0,0
2018-12-07 11:07:47,3,0,0,0,0,0,0
2018-12-07 11:07:48,3,10,0,0,0,0,0
2018-12-07 11:07:49,3,0,0,0,0,0,0
2018-12-07 11:07:50,2,14,0,0,0,0,0
2018-12-07 11:07:52,3,0,0,0,0,0,0
2018-12-07 11:07:53,2,9,0,0,0,0,0
2018-12-07 11:07:54,2,9,0,0,0,0,0
2018-12-07 11:07:55,4,24,0,0,0,0,0
2018-12-07 11:07:56,3,13,0,0,0,0,0
2018-12-07 11:07:58,1,0,0,0,0,0,0
2018-12-07 11:08:00,3,6,0,0,0,0,0
2018-12-07 11:08:01,1,2,0,0,0,0,0
2018-12-07 11:08:02,1,0,0,0,0,0,0
2018-12-07 11:08:04,2,0,0,0,0,0,0
2018-12-07 11:08:05,2,19,0,0,0,0,0
2018-12-07 11:08:06,2,0,0,0,0,0,0
2018-12-07 11:08:07,1,3,0,0,0,0,0
2018-12-07 11:08:08,2,0,0,0,0,0,0
2018-12-07 11:08:10,1,0,0,0,0,0,0
2018-12-07 11:08:12,2,0,0,0,0,0,0
2018-12-07 11:08:14,1,0,0,0,0,0,0
2018-12-07 11:08:15,3,0,0,0,0,0,0
2018-12-07 11:08:16,1,0,0,0,0,0,0
2018-12-07 11:08:17,1,0,0,0,0,0,0
2018-12-07 11:08:20,1,0,0,0,0,0,0
2018-12-07 11:08:21,1,0,0,0,0,0,0
2018-12-07 11:08:22,1,0,0,0,0,0,0
2018-12-07 11:08:26,2,0,0,0,0,0,0
2018-12-07 11:08:27,1,0,0,0,0,0,0
2018-12-07 11:08:28,1,0,0,0,0,0,0
2018-12-07 11:08:31,1,0,0,0,0,0,0
2018-12-07 11:08:32,1,0,0,0,0,0,0
2018-12-07 11:08:34,1,0,0,0,0,0,0
2018-12-07 11:08:35,2,0,0,0,1,0,0
2018-12-07 11:08:37,1,0,0,0,1,0,0
2018-12-07 11:08:38,2,0,0,0,0,0,0
2018-12-07 11:08:39,3,0,0,0,0,0,0
2018-12-07 11:08:41,2,0,0,0,0,0,0
2018-12-07 11:08:44,1,0,0,0,0,0,0
2018-12-07 11:08:45,3,0,0,1,0,0,0
2018-12-07 11:08:46,3,0,0,0,1,0,0
2018-12-07 11:08:47,2,0,0,0,0,0,0
2018-12-07 11:08:48,1,0,0,0,0,0,0
2018-12-07 11:08:49,2,0,0,0,0,0,0
2018-12-07 11:08:50,1,0,0,0,0,0,0
2018-12-07 11:08:53,4,23,0,0,0,0,0
2018-12-07 11:08:54,2,11,0,0,0,0,0
2018-12-07 11:08:55,5,36,0,1,0,0,0
2018-12-07 11:08:56,1,0,0,0,0,0,0
2018-12-07 11:08:57,9,33,0,1,0,0,0
2018-12-07 11:08:58,5,17,0,0,0,0,0
2018-12-07 11:08:59,4,16,0,0,0,0,0
2018-12-07 11:09:00,4,0,0,0,0,0,0
2018-12-07 11:09:01,6,27,0,0,0,0,0
2018-12-07 11:09:03,7,51,0,0,0,0,0
2018-12-07 11:09:04,2,23,0,0,0,0,0
2018-12-07 11:09:05,4,34,0,0,0,0,0
2018-12-07 11:09:06,5,13,0,0,0,0,0
2018-12-07 11:09:07,3,13,0,0,0,0,0
2018-12-07 11:09:08,3,6,0,0,0,0,0
2018-12-07 11:09:09,8,111,0,0,0,0,0
2018-12-07 11:09:10,1,16,0,0,0,0,0
2018-12-07 11:09:11,2,0,0,0,0,0,0
2018-12-07 11:09:12,4,25,0,2,1,0,0
2018-12-07 11:09:13,5,15,0,0,0,0,0
2018-12-07 11:09:14,1,0,0,0,0,0,0
2018-12-07 11:09:15,9,21,0,0,1,0,0
2018-12-07 11:09:16,1,13,0,0,0,0,0
2018-12-07 11:09:17,6,35,0,1,0,0,0
2018-12-07 11:09:18,3,0,0,0,0,0,0
2018-12-07 11:09:19,3,13,0,0,1,0,0
2018-12-07 11:09:20,3,35,0,1,0,0,0
2018-12-07 11:09:21,4,19,0,1,0,0,0
2018-12-07 11:09:22,7,101,0,0,0,0,0
2018-12-07 11:09:23,2,0,0,0,0,0,0
2018-12-07 11:09:24,8,44,0,0,0,0,0
2018-12-07 11:09:25,3,14,0,0,1,0,0
2018-12-07 11:09:26,2,13,0,0,0,0,0
2018-12-07 11:09:27,4,1,0,0,0,0,0
2018-12-07 11:09:28,5,32,0,0,0,0,0
2018-12-07 11:09:29,4,78,0,0,0,0,0
2018-12-07 11:09:30,1,0,0,0,0,0,0
2018-12-07 11:09:31,1,0,0,0,0,0,0
2018-12-07 11:09:32,2,0,0,0,0,0,0
2018-12-07 11:09:33,3,9,0,0,0,0,0
2018-12-07 11:09:34,4,15,0,0,0,0,0
2018-12-07 11:09:35,3,43,0,1,0,0,0
2018-12-07 11:09:36,3,52,0,0,0,0,0
2018-12-07 11:09:37,6,2,0,2,0,0,0
2018-12-07 11:09:38,8,27,0,0,0,0,0
2018-12-07 11:09:39,2,2,0,0,0,0,0
2018-12-07 11:09:40,6,70,0,0,0,0,0
2018-12-07 11:09:41,4,3,0,1,0,0,0
2018-12-07 11:09:42,5,11,0,0,0,0,0
2018-12-07 11:09:43,3,2,0,0,0,0,0
2018-12-07 11:09:44,3,0,0,0,0,0,0
2018-12-07 11:09:45,2,4,0,0,0,0,0
2018-12-07 11:09:46,5,0,0,0,0,0,0
2018-12-07 11:09:47,3,0,0,0,0,0,0
2018-12-07 11:09:48,5,19,0,1,0,0,0
2018-12-07 11:09:49,2,0,0,0,0,0,0
2018-12-07 11:09:50,1,0,0,0,0,0,0
2018-12-07 11:09:51,4,0,0,0,0,0,0
2018-12-07 11:09:52,1,0,0,0,0,0,0
2018-12-07 11:09:53,3,0,0,0,0,0,0
2018-12-07 11:09:54,3,4,0,0,1,0,0
2018-12-07 11:09:55,4,0,0,0,0,0,0
2018-12-07 11:09:56,5,23,0,0,0,0,0
2018-12-07 11:09:57,10,13,0,0,1,0,0
2018-12-07 11:09:58,5,44,0,0,0,0,0
2018-12-07 11:09:59,8,0,0,0,0,0,0
2018-12-07 11:10:00,13,8,0,0,0,0,0
2018-12-07 11:10:01,5,0,0,0,0,0,0
2018-12-07 11:10:02,7,0,0,0,0,0,0
2018-12-07 11:10:03,8,0,0,0,0,0,0
2018-12-07 11:10:04,13,12,0,0,0,0,0
2018-12-07 11:10:05,7,25,0,0,0,0,0
2018-12-07 11:10:06,5,0,0,0,0,0,0
2018-12-07 11:10:07,7,6,0,0,0,0,0
2018-12-07 11:10:08,2,0,0,1,0,0,0
2018-12-07 11:10:09,5,4,0,0,0,0,0
2018-12-07 11:10:10,1,0,0,0,0,0,0
2018-12-07 11:10:11,8,11,0,0,0,0,0
2018-12-07 11:10:12,5,0,0,0,0,0,0
2018-12-07 11:10:13,5,0,0,0,0,0,0
2018-12-07 11:10:14,4,10,0,0,0,0,0
2018-12-07 11:10:15,4,0,0,0,0,0,0
2018-12-07 11:10:16,3,4,0,0,0,0,0
2018-12-07 11:10:17,6,0,0,1,0,0,0
2018-12-07 11:10:18,6,14,0,0,0,0,0
2018-12-07 11:10:19,5,4,0,0,0,0,0
2018-12-07 11:10:20,3,4,0,0,0,0,0
2018-12-07 11:10:21,4,16,0,1,0,0,0
2018-12-07 11:10:22,1,0,0,0,0,0,0
2018-12-07 11:10:23,2,0,0,0,0,0,0
2018-12-07 11:10:24,1,20,0,0,0,0,0
2018-12-07 11:10:25,1,0,0,1,0,0,0
2018-12-07 11:10:27,1,0,0,0,0,0,0
2018-12-07 11:10:31,2,0,0,0,0,0,0
2018-12-07 11:10:32,2,3,0,0,0,0,0
2018-12-07 11:10:33,1,0,0,0,0,0,0
2018-12-07 11:10:36,2,10,0,0,0,0,0
2018-12-07 11:10:37,3,15,0,0,0,0,0
2018-12-07 11:10:38,3,12,0,0,0,0,0
