time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-11 00:00:49,1,0,0,0,0,0,0,0
2018-12-11 00:00:51,1,0,0,0,0,0,0,0
2018-12-11 00:00:54,1,0,0,0,0,0,0,0
2018-12-11 00:00:55,2,0,0,0,0,0,0,0
2018-12-11 00:00:56,3,0,0,0,0,0,0,0
2018-12-11 00:00:58,1,0,0,0,0,0,0,0
2018-12-11 00:01:02,1,0,0,0,0,0,0,0
2018-12-11 00:01:05,1,0,0,0,0,0,0,0
2018-12-11 00:01:06,4,33,0,0,0,0,0,0
2018-12-11 00:01:07,3,34,0,0,0,0,0,0
2018-12-11 00:01:08,4,11,0,0,0,0,0,0
2018-12-11 00:01:09,5,42,0,0,0,0,0,0
2018-12-11 00:01:10,5,18,0,0,0,0,0,0
2018-12-11 00:01:11,2,8,0,0,0,0,1,0
2018-12-11 00:01:12,2,24,0,0,0,0,0,0
2018-12-11 00:01:13,4,0,0,0,0,0,0,0
2018-12-11 00:01:14,2,7,0,0,0,0,0,0
2018-12-11 00:01:15,2,0,0,0,0,0,1,0
2018-12-11 00:01:16,2,2,0,0,0,0,0,0
2018-12-11 00:01:18,1,10,0,0,0,0,0,0
2018-12-11 00:01:19,2,4,0,0,0,0,0,0
2018-12-11 00:01:20,1,0,0,0,0,0,1,0
2018-12-11 00:01:23,2,0,0,0,0,0,0,0
2018-12-11 00:01:24,1,0,0,0,1,0,0,0
2018-12-11 00:01:25,2,0,0,0,0,0,1,0
2018-12-11 00:01:26,1,0,0,0,0,0,0,0
2018-12-11 00:01:28,2,0,0,0,0,0,0,0
2018-12-11 00:01:29,1,0,0,0,0,0,0,0
2018-12-11 00:01:30,1,0,0,0,0,0,0,0
2018-12-11 00:01:32,1,0,0,0,0,0,0,0
2018-12-11 00:01:34,1,0,0,0,0,0,0,0
2018-12-11 00:01:37,1,0,0,1,0,0,0,0
2018-12-11 00:01:42,1,0,0,0,0,0,0,0
2018-12-11 00:01:43,1,0,0,0,0,0,0,0
2018-12-11 00:01:44,1,0,0,0,0,0,0,0
2018-12-11 00:01:52,2,0,0,0,1,0,1,0
2018-12-11 00:01:54,1,0,0,0,0,0,0,0
2018-12-11 00:01:55,4,0,0,0,1,0,0,0
2018-12-11 00:01:57,2,0,0,0,0,0,0,0
2018-12-11 00:01:58,1,0,0,0,0,0,0,0
2018-12-11 00:01:59,2,0,0,0,0,0,2,0
2018-12-11 00:02:00,1,1,0,0,0,0,0,0
2018-12-11 00:02:01,2,6,0,0,0,0,0,0
2018-12-11 00:02:07,1,0,0,0,0,0,0,0
2018-12-11 00:02:08,1,0,0,0,0,0,0,0
2018-12-11 00:02:09,2,13,0,0,0,0,0,0
2018-12-11 00:02:16,1,2,0,0,0,0,0,0
2018-12-11 00:02:18,1,3,0,1,0,0,0,0
2018-12-11 00:02:19,2,0,0,0,0,0,0,0
2018-12-11 00:02:20,1,0,0,0,0,0,0,0
2018-12-11 00:02:24,1,1,0,0,0,0,0,0
2018-12-11 00:02:29,1,0,0,0,0,0,0,0
2018-12-11 00:02:31,2,0,0,0,0,0,0,0
2018-12-11 00:02:32,4,1,0,0,0,0,0,0
2018-12-11 00:02:33,6,0,0,0,0,0,0,0
2018-12-11 00:02:34,2,2,0,0,0,0,0,0
2018-12-11 00:02:35,8,4,0,0,0,0,0,0
2018-12-11 00:02:36,3,0,0,0,0,0,0,0
2018-12-11 00:02:37,2,2,0,0,0,0,0,0
2018-12-11 00:02:38,4,1,0,0,0,0,0,0
2018-12-11 00:02:39,3,0,0,0,0,0,0,0
2018-12-11 00:02:40,4,0,0,0,0,0,0,0
2018-12-11 00:02:41,3,4,0,0,0,0,0,0
2018-12-11 00:02:42,4,2,0,0,0,0,0,0
2018-12-11 00:02:43,1,0,0,0,0,0,0,0
2018-12-11 00:02:44,5,2,0,0,0,0,0,0
2018-12-11 00:02:45,2,0,0,1,0,0,0,0
2018-12-11 00:02:46,5,0,0,0,0,0,0,0
2018-12-11 00:02:47,1,0,0,0,0,0,0,0
2018-12-11 00:02:48,3,0,0,1,0,0,0,0
2018-12-11 00:02:49,1,0,0,0,0,0,0,0
2018-12-11 00:02:50,1,0,0,0,0,0,0,0
2018-12-11 00:02:51,2,0,0,0,0,0,0,0
2018-12-11 00:02:53,5,4,0,2,0,0,1,0
2018-12-11 00:02:54,2,10,0,0,0,0,0,0
