|morphs|origin
128|['주문', '냥', '보', '여주', '세', '이', '어']|주문냥 보여주세여
129|['이', '해저', 'ㄱㄷ', 'ㅗ', '적', '은', '어떻', 'ㄴ데요', '?', '?', '?']|이 해적도적은 어떤데요???
130|['9', '데', 'ㅁ', '아니', 'ㅁ', '?']|9뎀 아님?
131|['본체', '9', '데', 'ㅁ', '?']|본체 9뎀?
132|['가', '아야지']|가야지
133|['그냥', '지금', '알', '냥', '도', '운다스타', '땜', '에', '훨씬', '좋', '아', '지', 'ㅁ']|그냥지금 알냥도 운다스타땜에 훨씬좋아짐
134|['재', 'ㅁ', '포', '포화']|잼포포화
135|['이건', '가', '아야지']|이건 가야지
136|['광역', '이', '기', '반드시', '있', '음']|광역기 반드시 있음
137|['해적', '함', '내', 'ㄱ', 'ㅗ']|해적 함내고
138|['이건', '하', '아야지']|이건해야지
139|['12', '데', 'ㅁ', '까지', '가능', '하', 'ㄴ가', '?']|12뎀까지 가능한가?
140|['근데', '지', 'ㄴ듯']|근데 진듯
141|['카', 'ㅁ', '포', '발', '싸', '아', '!']|캄포발싸!
142|['맘', '가', '가', '아야지']|맘가 가야지
143|['세바', 'ㅇ', '이면', '하', 'ㄹ', '만', '하다']|세방이면 할만하다
144|['쌈', '님', '이', '데', 'ㄱ', '에', '데피아즈단', '어떻', '어요', '?', '해', '적', '이', 'ㄴ데']|쌈님 이덱에 데피아즈단 어때요? 해적인데
145|['상트', 'ㄱ', ')', '맘', '가', '대포']|상특) 맘가 대포
146|['내', 'ㄱ', 'ㅗ', '맘', '가', 'ㄱㄱ']|내고맘가 ㄱㄱ
147|['C9', '이면', '가', '아야지']|C9 이면 가야지
148|['쏘', '아야지']|쏴야지
149|['해적', '하나', '내', 'ㄱ', 'ㅗ', '맘', '가', '탁탁', '탁']|해적하나내고 맘가 탁탁탁
150|['2', '코', '내', 'ㄱ', 'ㅗ', '가즈아']|2코내고 가즈아
151|['번', '포', 'ㄱ', '각']|번폭각
152|['화산', '맞', '으면', '갸', 'ㅇ', '터지', '는데']|화산맞으면 걍터지는데
153|['해적', '내', 'ㄱ', 'ㅗ', '가즈아']|해적내고 가즈아
154|['줄진', '있', '는데', '주', 'ㄱ', '사르', '가', '없', '디', 'ㅠ', 'ㅠ']|줄진있는데 죽사르가 없디 ㅠㅠ
155|['이', '데', 'ㄱ', '마', '이', '라', '필', '카', '임', '?']|이덱 마이라 필카임?
156|['3', '바', 'ㅇ', '쏘', '는데']|3방 쏘는데
157|['4', '발', '이', 'ㅁ']|4발임
158|['광역', '맞', '기', '전', '에', '얼른', '쓰', '어라']|광역맞기전에 얼른써라
159|['멀', 'ㄴ', '티', '시야']|먼티시야
160|['화산', '무', '조건', '이기', 'ㄴ', '함']|화산 무조건이긴함
161|['4', '바', 'ㅇ', '까지', '쏘', '네']|4방까지 쏘네
162|['담', '터', 'ㄴ', '보', '자']|담턴보자
163|['지금', '안', '하', '면', '구독', '취소', '하', 'ㅁ']|지금 안하면 구독취소함
