|morphs|origin
137|['연습', '때', '싸움', '을', '연습', '하', '아야', '대회', '에', '조', 'ㄴ', '버', '를', '하', '아도', '더', '버티', '지', '않', '으려나', '요', 'ㅋㅋ', 'ㅋㅋ']|연습때 싸움을 연습해야 대회에 존버를해도 더 버티지 않으려나요 ㅋㅋㅋㅋ
138|['언제', '중사', '로', '진급', '하', '시', '었', '어여', '?']|언제 중사로 진급하셨어여?
139|['빠르', 'ㄴ', '연습', '하', '나요', '?']|빠른 연습 하나요?
140|['마우스', '로', '우', 'ㅁ직', '이', '느', '게', '아니', '라서']|마우스로 움직이느게 아니라서
141|['wasd', '는', '빠', 'ㄱ', '세긴', '하', 'ㄹ', '듯']|wasd는 빡세긴 할듯
142|['오늘', '입', '은', '옷', '은', '친구', '쇼핑몰', '에서', '받', '은', '거', 'ㄴ', '가요', '?']|오늘 입은 옷은 친구 쇼핑몰에서 받은건가요?
143|['반', '응소', 'ㄱㄷ', 'ㅗ', '가', '다르', '구만']|반응속도가 다르구만
144|['시리우스', '도', '별로', 'ㄴ', '가']|시리우스도 별론가
145|['익숙', '하', '지', '않', '으시', '어서', '그런', '듯']|익숙하지 않으셔서 그런듯
146|['카이', '샤라', 'ㅇ', '비슷', '하', 'ㄴ', '거', '없', '네', 'ㄷ']|카이샤랑 비슷한거 없네 ㄷ
147|['wasd', '로', '움직이', '는', '거', '조금', '불편', '하기', 'ㄴ', '함']|wasd로 움직이는거 조금 불편하긴함
148|['한', '박자', '빨리', '누르', '어야', '하', '나']|한박자 빨리눌러야하나
149|['초', '중사', '님', '언제', '진급', '하', '시', '었', '나요', '?']|초중사님 언제 진급하셨나요?
150|['쪼', 'ㄴ', '버']|쫀버
151|['속도', '빠르', 'ㄴ', '캐릭터', '고르', '아서', '도망', '다니', '시', '죠', 'ㅋㅋ']|속도 빠른 캐릭터 골라서 도망다니시죠 ㅋㅋ
152|['조', 'ㄴ', '버', '를', '하', '자']|존버를 하자
153|['다', '조', 'ㄴ', '버', '하', '는', '거', '아이', '가', '?']|다 존버 하는거 아이가?
154|['조', 'ㄴ', '버마', 'ㄴ', '이', '답', '이', '다']|존버만이 답이다
155|['조', 'ㄴ', '버', '하', '는', '초', '중사', 'ㄷㄷㄷ', 'ㄷㄷ']|존버하는 초중사 ㄷㄷㄷㄷㄷ
156|['속도감', '있', '는', '게', '없', '으시', '었', '나']|속도감있는게 없으셨나
157|['그것', '은근', '잘', '들키', '던', '데', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|그거 은근 잘들키던데ㅋㅋㅋㅋㅋㅋ
158|['포', '탑', '사기', '덜', 'ㄴ데']|포탑 사기던데
159|['ㄹㅇ', '먹히', 'ㄹ', '거', '같', '음']|ㄹㅇ 먹힐거같음
160|['자꾸', '중간', '에', '흔들', 'ㄹ', '림', 'ㅋㅋ', 'ㅋㅋ']|자꾸 중간에 흔들림ㅋㅋㅋㅋ
161|['지나가', '면서', '다', '두들기', 'ㄴ다']|지나가면서 다 두들긴다
162|['배틀', '라이트', '얘기', '이', 'ㅁ', '?']|배틀라이트얘기임?
163|['숨구멍', '때문', '에', '덜컹', '걸', '려', '요']|숨구멍 때문에 덜컹거려요
164|['상자', '까', '답', 'ㅗ', '이', '면', '나오', '더라구요']|상자 까다보면 나오더라구요
165|['부담', '갖', '지', '말', '아요']|부담 갖지마요
166|['몇', '시', '이', 'ㄴ가요', '?']|몇시인가요?
167|['민어', 'ㄴㄷ', 'ㅗ', 'ㅇ', '이', '쌉', '캐리', '할', '수도', '있', '잖아', '이', '어']|민언동이 쌉캐리할수도있잖아여
168|['즐겁', '게', '하', '아요']|즐겁게 해요
169|['갸', 'ㅇ', '나가', '는', '거', '죠', '뭐']|걍 나가는거죠 뭐
170|['못하', 'ㄹ', '수도', '잇', '지']|못할수도 잇지
171|['그냥', '즐기', '러', '가', 'ㄴ다고', '생각', '하', '시', '어요']|그냥 즐기러 간다고 생각하세요
172|['못하', '면', '어떻', '어요']|못하면 어때요
173|['나가', '아서', '손', '하', '아', '보', '는', '것', '두', '아니', '자', '너', '요', 'ㅋㅋㅋ']|나가서 손해보는것두 아니자너요 ㅋㅋㅋ
174|['재', 'ㅁ', '있', '게', '하', '면', '되', '지요', 'ㅎㅎ']|잼있게 하면 되지요 ㅎㅎ
