|morphs|origin
95|['뭐', '야', '옷', '왜', '그러', '어', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|뭐야 옷 왜그래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
96|['오늘', '은', '따듯', '하', '게', '입', '고', '오', '았', '네']|오늘은 따듯하게 입고 왔네
97|['구', 'ㄱ', '따', '대표', 'ㄷㄷ']|국따대표 ㄷㄷ
98|['집', '이', '춥', '나', '보', '아', '용', '?']|집이 춥나봐용?
99|['오', '아', '하', '스티']|와 하스티
100|['이거', 'ㄹ', '도망가', '네']|이걸 도망가네
101|['바로', '도마', 'ㅇ']|바로 도망
102|['지', '각', '해명', '하', '아']|지각 해명해
103|['켜', '고', '바로', '도망가', 'ㅁ', 'ㅋㅋㅋ']|켜고 바로 도망감 ㅋㅋㅋ
104|['오', '아', '동생', '분이', '정리', '해주', 'ㄴ', '거', '3', '일만', '에', '원상', '복구', '오', '아', '!']|와 동생분이 정리해준거 3일만에 원상복구 와!
105|['빨리', 'ㄹㄷㅇㄷㄱ님', '후기', '나', '들려주', '세', 'ㅁ']|빨리 ㄹㄷㅇㄷㄱ님 후기나 들려주셈
106|['빠', 'ㄴ', '스럽', 'ㄴ', 'ㅡㅡ']|빤스런 ㅡㅡ
107|['따', '효', '이', '니', '없', '는', '따', '효', '이', '니', '방송']|따효니 없는 따효니 방송
108|['나오', '아라', '비겁', '하', 'ㄴ', '녀석', '!!!']|나와라 비겁한 녀석!!!
109|['비겁', '하', 'ㄴ', '녀석', '!!!']|비겁한 녀석!!!
110|['펴', '어', '느', '안']|편ㅡ안
111|['해명', '하', '아']|해명해
112|['오', '아', '동생', '이', '바', 'ㅇ', '정리', '해주', 'ㄴ', '게', '엊그제', '같', '은데', '벌써', '뒤', '에', '어지르', '어', '지', 'ㄴ', '거', '실화', '냐']|와 동생이 방정리해준게 엊그제 같은데 벌써 뒤에 어질러진거 실화냐
113|['머리', '예쁘', '어', '지', '었', '네']|머리 예뻐졌네
114|['심각', '하', 'ㄴ', '척', 'ㄴ']|심각한척 ㄴ
115|['ㄲ', 'ㅗ']|꼬
116|['효', '이', '니', '오늘', '도', '효', '이', '니', '하', '았', '네']|효니 오늘도 효니했네
117|['절', '대', '하', '아', '명', '하', '아']|절 대 해 명 해
118|['왜', '캐', '심작', '하', 'ㅁ']|왜캐 심작함
119|['표정', '왜', '그러', '어', '용']|표정 왜그래용
120|['마이크', '켜', '어', '지', '어', '있', '는', '거', 'ㄴ', '맞', '나']|마이크 켜져있는건 맞나
121|['심각', '하', 'ㅁ']|심각함
122|['심각', '하', 'ㄴ', '척', 'ㄴㄴ', 'ㄴㄴ', 'ㄴㄴ', 'ㄴㄴ', 'ㄴㄴ', 'ㄴㄴ', 'ㄴ']|심각한척 ㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴㄴ
123|['ㄱ', 'ㅗ']|고
124|['무슨', '문제', '이', '라두']|무슨 문제라두
