time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-12 00:08:06,1,0,0,0,0,0,0,0
2018-12-12 00:08:07,2,0,0,0,0,0,0,0
2018-12-12 00:08:10,2,0,0,0,0,0,0,0
2018-12-12 00:08:12,1,0,0,0,0,0,0,0
2018-12-12 00:08:14,3,0,0,0,0,0,0,0
2018-12-12 00:08:15,2,0,0,0,0,0,0,0
2018-12-12 00:08:16,1,0,0,0,0,0,0,0
2018-12-12 00:08:17,1,11,0,0,0,0,0,0
2018-12-12 00:08:18,1,5,0,0,0,0,0,0
2018-12-12 00:08:20,2,0,0,0,0,0,0,0
2018-12-12 00:08:21,1,0,0,0,0,0,0,0
2018-12-12 00:08:23,2,0,0,0,0,0,0,0
2018-12-12 00:08:24,1,0,0,0,0,0,0,0
2018-12-12 00:08:25,2,2,0,0,0,0,0,0
2018-12-12 00:08:26,1,0,0,0,0,0,0,0
2018-12-12 00:08:27,1,2,0,0,0,0,0,0
2018-12-12 00:08:28,2,3,0,0,0,0,0,0
2018-12-12 00:08:29,1,0,0,1,0,0,0,0
2018-12-12 00:08:30,1,0,0,0,0,0,0,0
2018-12-12 00:08:31,1,0,0,0,0,0,0,0
2018-12-12 00:08:32,1,2,0,0,0,0,0,0
2018-12-12 00:08:33,1,0,0,0,0,0,0,0
2018-12-12 00:08:34,1,0,0,0,0,0,0,0
2018-12-12 00:08:36,1,0,0,0,0,0,0,0
2018-12-12 00:08:37,1,0,0,0,0,0,0,0
2018-12-12 00:08:39,1,0,0,0,0,0,0,0
2018-12-12 00:08:40,1,0,0,0,0,0,0,0
2018-12-12 00:08:41,2,2,0,0,0,0,0,0
2018-12-12 00:08:42,1,0,0,0,0,0,0,0
2018-12-12 00:08:43,2,0,0,0,0,0,0,0
2018-12-12 00:08:44,3,0,0,0,0,0,0,0
2018-12-12 00:08:45,2,4,0,0,0,0,0,0
2018-12-12 00:08:46,2,0,0,0,0,0,0,0
2018-12-12 00:08:47,1,0,0,0,0,0,0,0
2018-12-12 00:08:49,2,0,0,0,0,0,0,0
2018-12-12 00:08:50,1,0,0,1,0,0,0,0
2018-12-12 00:08:52,1,0,0,0,0,0,0,0
2018-12-12 00:08:53,3,7,0,0,0,0,0,0
2018-12-12 00:08:54,3,0,0,0,0,0,0,0
2018-12-12 00:08:55,2,0,0,0,0,0,0,0
2018-12-12 00:08:56,1,1,0,0,0,0,0,0
2018-12-12 00:08:57,4,16,0,0,0,0,0,0
2018-12-12 00:08:58,3,11,0,0,0,0,0,0
2018-12-12 00:08:59,1,0,0,0,0,0,0,0
2018-12-12 00:09:00,1,0,0,0,0,0,0,0
2018-12-12 00:09:01,2,10,0,0,0,0,0,0
2018-12-12 00:09:02,1,8,0,0,0,0,0,0
2018-12-12 00:09:03,5,11,0,0,0,0,0,0
2018-12-12 00:09:04,1,0,0,0,0,0,0,0
2018-12-12 00:09:05,1,0,0,0,0,0,0,0
2018-12-12 00:09:07,1,2,0,0,0,0,0,0
2018-12-12 00:09:08,1,0,0,0,0,0,0,0
2018-12-12 00:09:10,1,0,0,0,0,0,0,0
2018-12-12 00:09:13,1,0,0,0,0,0,1,0
2018-12-12 00:09:15,2,0,0,0,0,0,0,0
2018-12-12 00:09:18,2,0,0,0,0,0,0,0
2018-12-12 00:09:20,1,0,0,0,0,0,0,0
2018-12-12 00:09:24,1,0,0,0,0,0,0,0
2018-12-12 00:09:25,1,0,0,0,0,0,0,0
